Date,Horde Daily,Rewards (Incon/Adv/Beg),Mutator Set,Escape Daily,Rewards (Incon/Adv/Beg)_2
3/13/24,Clocktower,1 Legendary Card / 4 Cards / 200 Coins,"Reduced Bleeding Damage, Survivor, Reduced Explosive Damage, Regen Penalty, Double Headshot Damage, Regeneration, Power Drain.",The Ambush,"10,000 CXP / 5,000 CXP / 200 Coins"
3/14/24,Icebound,"10,000 CXP / 5,000 CXP / 200 Coins","Freezing Rifles, More Lethal, Shielded Heavies, More Health, Frag Rejects, Survivor, Regeneration.",Ice Queen,1 Legendary Card / 4 Cards / 200 Coins
3/15/24,Canals,"400 Coins / 300 Coins / 2,500 CXP","Confetti Headshot, Even Tougher Enemies, Power Boost, More Lethal, Vampire, More Lethal, Survivor.",The Mist,1 Legendary Card / 4 Cards / 200 Coins
3/16/24,Command,"6 Cards / 4 Cards / 2,500 CXP","Only Regen in Cover, More Lethal, Must Active Reload, More Health, Bobblehead Enemies, Regeneration, Survivor.",The Gauntlet,"6 Cards / 4 Cards / 2,500 CXP"
3/17/24,Rail Line,"400 Coins / 300 Coins / 2,500 CXP","Poison Flushers, More Melee Damage, More Health, Close Range Gambit, More Lethal, Poison Drones, Survivor.",The Corruption,"400 Coins / 300 Coins / 2,500 CXP"
3/18/24,Dawn,"6 Cards / 4 Cards / 2,500 CXP","Reduced Heavy Damage, More Lethal, Reduced Explosive Damage, Regen Penalty, Triple Melee Damage, Execution Rules, Survivor.",The Trap,"10,000 CXP / 5,000 CXP / 200 Coins"
3/19/24,River,"400 Coins / 300 Coins / 2,500 CXP","More Lethal, Ultra Stopping Power, More Health, Aggressive Enemies, Ultra Stopping Power, Survivor, Regen Penalty.",The Line,"400 Coins / 300 Coins / 2,500 CXP"
3/20/24,Overload,"10,000 CXP / 5,000 CXP / 200 Coins","Poison Flushers, More Melee Damage, More Health, Close Range Gambit, More Lethal, Poison Drones, Survivor.",The Gatekeepers,"400 Coins / 300 Coins / 2,500 CXP"
3/21/24,Reclaimed,1 Legendary Card / 4 Cards / 200 Coins,"Heads Up, More Lethal, Triple Headshot Damage, More Health, Confetti Headshot, Increased Accuracy, Survivor.",The Surge,"400 Coins / 300 Coins / 2,500 CXP"
3/22/24,Mercy,1 Legendary Card / 4 Cards / 200 Coins,"Ghost Enemies, More Health, Reflective Shell Heavies, Long Range Gambit, More Lethal, Freezing Sniper Bullets, Survivor.",The Barracks,"400 Coins / 300 Coins / 2,500 CXP"
